IP,isBad
71.152.53.74,True
71.152.53.75,True
71.152.53.8,True
71.152.53.9,True
71.152.53.96,True
71.152.53.99,True
74.114.26.53,True
87.238.80.1,True
87.238.80.106,True
87.238.80.11,True
87.238.80.128,True
87.238.80.129,True
87.238.80.131,True
87.238.80.136,True
87.238.80.137,True
87.238.80.138,True
87.238.80.139,True
87.238.80.150,True
87.238.80.160,True
87.238.80.161,True
87.238.80.162,True
87.238.80.168,True
87.238.80.169,True
87.238.80.170,True
87.238.80.171,True
87.238.80.182,True
87.238.80.192,True
87.238.80.2,True
87.238.80.20,True
87.238.80.22,True
87.238.80.227,True
87.238.80.3,True
87.238.80.33,True
87.238.80.34,True
87.238.80.35,True
87.238.80.40,True
87.238.80.42,True
87.238.80.43,True
87.238.80.54,True
87.238.80.65,True
87.238.80.67,True
87.238.80.72,True
87.238.80.8,True
87.238.80.9,True
87.238.81.1,True
87.238.81.101,True
87.238.81.11,True
87.238.81.120,True
87.238.81.128,True
87.238.81.136,True
87.238.81.138,True
87.238.81.139,True
87.238.81.151,True
87.238.81.160,True
87.238.81.161,True
87.238.81.162,True
87.238.81.163,True
87.238.81.168,True
87.238.81.169,True
87.238.81.180,True
87.238.81.190,True
87.238.81.196,True
87.238.81.2,True
87.238.81.201,True
87.238.81.21,True
87.238.81.224,True
87.238.81.235,True
87.238.81.28,True
87.238.81.3,True
87.238.81.32,True
87.238.81.33,True
87.238.81.34,True
87.238.81.40,True
87.238.81.42,True
87.238.81.43,True
87.238.81.66,True
87.238.81.75,True
87.238.81.8,True
87.238.81.9,True
87.238.81.96,True
87.238.81.99,True
87.238.82.1,True
87.238.82.10,True
87.238.82.129,True
87.238.82.130,True
87.238.82.131,True
87.238.82.136,True
87.238.82.138,True
87.238.82.139,True
87.238.82.156,True
87.238.82.159,True
87.238.82.160,True
87.238.82.161,True
87.238.82.162,True
87.238.82.163,True
87.238.82.168,True
87.238.82.169,True
87.238.82.170,True
87.238.82.171,True
87.238.82.180,True
87.238.82.191,True
87.238.82.2,True
87.238.82.23,True
87.238.82.233,True
87.238.82.29,True
87.238.82.3,True
87.238.82.30,True
87.238.82.32,True
87.238.82.33,True
87.238.82.34,True
87.238.82.35,True
87.238.82.40,True
87.238.82.41,True
87.238.82.63,True
87.238.82.64,True
87.238.82.74,True
87.238.82.8,True
87.238.82.9,True
87.238.83.1,True
87.238.83.11,True
87.238.83.128,True
87.238.83.129,True
87.238.83.130,True
87.238.83.131,True
87.238.83.138,True
87.238.83.139,True
87.238.83.156,True
87.238.83.160,True
87.238.83.161,True
87.238.83.162,True
87.238.83.163,True
87.238.83.168,True
87.238.83.171,True
87.238.83.188,True
87.238.83.189,True
87.238.83.193,True
87.238.83.2,True
87.238.83.202,True
87.238.83.30,True
87.238.83.32,True
87.238.83.33,True
87.238.83.34,True
87.238.83.35,True
87.238.83.41,True
87.238.83.42,True
87.238.83.43,True
87.238.83.60,True
87.238.83.66,True
87.238.83.9,True
87.238.84.1,True
87.238.84.10,True
87.238.84.11,True
87.238.84.129,True
87.238.84.130,True
87.238.84.136,True
87.238.84.137,True
87.238.84.139,True
87.238.84.150,True
87.238.84.160,True
87.238.84.161,True
87.238.84.162,True
87.238.84.163,True
87.238.84.168,True
87.238.84.169,True
87.238.84.170,True
87.238.84.171,True
87.238.84.181,True
87.238.84.190,True
87.238.84.191,True
87.238.84.193,True
87.238.84.194,True
